n, cpu_time
0, 5e-06
100000, 0.015387
200000, 0.028507
300000, 0.033271
400000, 0.045416
500000, 0.065146
600000, 0.111661
700000, 0.094025
800000, 0.164821
900000, 0.120189
1000000, 0.190775
1100000, 0.146783
1200000, 0.22735
1300000, 0.264276
1400000, 0.275861
1500000, 0.353081
1600000, 0.376375
1700000, 0.383077
1800000, 0.337602
1900000, 0.463278
2000000, 0.37406
2100000, 0.433794
2200000, 0.467304
2300000, 0.607395
2400000, 0.469432
2500000, 0.492289
2600000, 0.445144
2700000, 0.728009
2800000, 0.719933
2900000, 0.762217
3000000, 0.612822
3100000, 0.786937
3200000, 0.658248
3300000, 0.591717
3400000, 0.581149
3500000, 0.654392
3600000, 0.98113
3700000, 0.587013
3800000, 0.664825
3900000, 0.789896
4000000, 1.17855
4100000, 1.04042
4200000, 1.17966
4300000, 1.07792
4400000, 1.02776
4500000, 0.907367
4600000, 0.876348
4700000, 1.11032
4800000, 1.06118
4900000, 1.45951
5000000, 1.32921
5100000, 1.53215
5200000, 1.11962
5300000, 1.11201
5400000, 1.62493
5500000, 1.51456
5600000, 1.03059
5700000, 1.53886
5800000, 1.77178
5900000, 1.58212
6000000, 1.60034
6100000, 2.07078
6200000, 1.23001
6300000, 1.85124
6400000, 1.98989
6500000, 1.28939
6600000, 2.22884
6700000, 1.41701
6800000, 2.15556
6900000, 1.8263
7000000, 2.1538
7100000, 1.57342
7200000, 1.57587
7300000, 1.41324
7400000, 2.23501
7500000, 2.32226
7600000, 1.7929
7700000, 2.11863
7800000, 2.57227
7900000, 2.24182
8000000, 2.03864
8100000, 2.72259
8200000, 2.52027
8300000, 2.98694
8400000, 1.60644
8500000, 1.64838
8600000, 3.02834
8700000, 1.90057
8800000, 3.1469
8900000, 2.35255
9000000, 2.92617
9100000, 3.25918
9200000, 3.40728
9300000, 3.03391
9400000, 2.14001
9500000, 2.80593
9600000, 2.07454
9700000, 2.28416
9800000, 2.21178
9900000, 3.28674
10000000, 2.61692
10100000, 3.9633
10200000, 2.39039
10300000, 2.0313
10400000, 3.29035
10500000, 3.6411
10600000, 3.26536
10700000, 4.09255
10800000, 4.12922
10900000, 4.07941
11000000, 2.34133
11100000, 2.84898
11200000, 3.54501
11300000, 3.6021
11400000, 3.21961
11500000, 2.63808
11600000, 3.81869
11700000, 3.62503
11800000, 4.29359
11900000, 2.72935
12000000, 2.97562
12100000, 2.94742
12200000, 3.24268
12300000, 4.56491
12400000, 4.20744
12500000, 4.0697
12600000, 5.09789
12700000, 3.20223
12800000, 3.8364
12900000, 3.90398
13000000, 3.45973
13100000, 2.76808
13200000, 3.36042
13300000, 3.60926
13400000, 4.75259
13500000, 3.87633
13600000, 4.94806
13700000, 5.08999
13800000, 4.37881
13900000, 4.48832
14000000, 4.34135
14100000, 4.65746
14200000, 5.1489
14300000, 3.45733
14400000, 4.88776
14500000, 3.16231
14600000, 3.86519
14700000, 4.6747
14800000, 5.55549
14900000, 5.58781
15000000, 5.32233
15100000, 3.16212
15200000, 5.94628
15300000, 4.85769
15400000, 5.50731
15500000, 5.51316
15600000, 5.56962
15700000, 3.60928
15800000, 5.40343
15900000, 5.38531
16000000, 5.55871
16100000, 6.39808
16200000, 5.90039
16300000, 4.28625
16400000, 5.48215
16500000, 4.27154
16600000, 5.96578
16700000, 4.73212
16800000, 5.5812
16900000, 3.68363
17000000, 6.59697
17100000, 6.94306
17200000, 5.37714
17300000, 7.78683
17400000, 6.16454
17500000, 4.75426
